,time,status1,status2,status3,status4,status5,status6,status7,status8,status9,status10,status11,status12,status13,status14,status15,status16,status17,status18,status19,unsure,green,red,all,unsure percent,green percent,red percent
49,2.45,unsure,unsure,red,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,10,0,9,19,0.5263,0.0,0.4737
50,2.5,unsure,unsure,red,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,10,0,9,19,0.5263,0.0,0.4737
51,2.55,unsure,unsure,red,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,10,0,9,19,0.5263,0.0,0.4737
52,2.6,unsure,unsure,red,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,10,0,9,19,0.5263,0.0,0.4737
53,2.65,unsure,unsure,red,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,10,0,9,19,0.5263,0.0,0.4737
54,2.7,unsure,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,9,0,10,19,0.4737,0.0,0.5263
55,2.75,unsure,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,9,0,10,19,0.4737,0.0,0.5263
56,2.8,unsure,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,9,0,10,19,0.4737,0.0,0.5263
57,2.85,unsure,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,9,0,10,19,0.4737,0.0,0.5263
58,2.9,unsure,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,9,0,10,19,0.4737,0.0,0.5263
59,2.95,unsure,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,9,0,10,19,0.4737,0.0,0.5263
60,3.0,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,unsure,unsure,red,unsure,red,9,0,10,19,0.4737,0.0,0.5263
61,3.05,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,unsure,unsure,red,unsure,red,9,0,10,19,0.4737,0.0,0.5263
62,3.1,red,unsure,red,red,red,unsure,red,red,unsure,red,unsure,unsure,red,unsure,red,unsure,red,unsure,red,8,0,11,19,0.4211,0.0,0.5789
